[INFO] 19:57:11:379 Log/(16641:16645): Pagina víctima: Pid: 1, Página: 0, Marco: 0
[INFO] 19:57:11:389 Log/(16641:16645): Pagina entrante: Pid: 2, Página: 0, Marco: 0
[INFO] 20:02:27:800 Log/(16990:16997): Pagina víctima: Pid: 1, Página: 0, Marco: 0
[INFO] 20:02:27:800 Log/(16990:16997): Pagina víctima: Pid: 2, Página: 0, Marco: 1
[INFO] 20:02:27:800 Log/(16990:16997): Pagina víctima: Pid: 3, Página: 0, Marco: 2
[INFO] 20:02:48:520 Log/(17001:17008): Pagina víctima: Pid: 3, Página: 0, Marco: 0
[INFO] 20:06:10:959 Log/(17096:17108): Pagina víctima: Pid: 3, Página: 0, Marco: 2
[INFO] 20:07:07:669 Log/(17096:17108): Pagina víctima: Pid: 1, Página: 0, Marco: 0
[INFO] 20:07:52:124 Log/(17096:17108): Pagina víctima: Pid: 2, Página: 0, Marco: 1
[INFO] 20:13:59:477 Log/(17235:17247): Pagina víctima: Pid: 3, Página: 0, Marco: 2
[INFO] 20:14:23:180 Log/(17235:17247): Pagina víctima: Pid: 2, Página: 0, Marco: 1
[INFO] 20:14:31:701 Log/(17235:17247): Pagina víctima: Pid: 1, Página: 0, Marco: 0
[INFO] 20:19:16:747 Log/(17382:17395): Pagina víctima: Pid: 1, Página: 0, Marco: 0
[INFO] 20:19:18:258 Log/(17382:17395): Pagina entrante: Pid: 3, Página: 0, Marco: 0
[INFO] 20:19:21:413 Log/(17382:17393): Pagina víctima: Pid: 2, Página: 0, Marco: 1
[INFO] 20:19:22:637 Log/(17382:17393): Pagina entrante: Pid: 1, Página: 0, Marco: 1
[INFO] 20:19:22:640 Log/(17382:17394): Pagina víctima: Pid: 3, Página: 0, Marco: 0
[INFO] 20:19:23:307 Log/(17382:17394): Pagina entrante: Pid: 2, Página: 0, Marco: 0
[INFO] 20:19:41:170 Log/(17382:17395): Pagina víctima: Pid: 1, Página: 0, Marco: 1
[INFO] 20:19:41:648 Log/(17382:17395): Pagina entrante: Pid: 3, Página: 0, Marco: 1
[INFO] 20:20:52:424 Log/(17477:17484): Pagina víctima: Pid: 1, Página: 0, Marco: 0
[INFO] 20:20:52:439 Log/(17477:17484): Pagina entrante: Pid: 2, Página: 0, Marco: 0
[INFO] 20:20:53:423 Log/(17477:17482): Pagina víctima: Pid: 2, Página: 0, Marco: 0
[INFO] 20:20:53:428 Log/(17477:17482): Pagina entrante: Pid: 1, Página: 0, Marco: 0
[INFO] 20:20:53:443 Log/(17477:17484): Pagina víctima: Pid: 3, Página: 0, Marco: 1
[INFO] 20:20:53:449 Log/(17477:17484): Pagina entrante: Pid: 2, Página: 0, Marco: 1
[INFO] 20:28:09:244 Log/(17629:17638): Pagina víctima: Pid: 3, Página: 0, Marco: 0
[INFO] 20:28:09:259 Log/(17629:17638): Pagina entrante: Pid: 2, Página: 0, Marco: 0
[INFO] 20:28:10:242 Log/(17629:17637): Pagina víctima: Pid: 2, Página: 0, Marco: 0
[INFO] 20:28:10:248 Log/(17629:17637): Pagina entrante: Pid: 3, Página: 0, Marco: 0
[INFO] 20:28:10:263 Log/(17629:17638): Pagina víctima: Pid: 1, Página: 0, Marco: 1
[INFO] 20:28:10:272 Log/(17629:17638): Pagina entrante: Pid: 2, Página: 0, Marco: 1
[INFO] 20:28:11:241 Log/(17629:17636): Pagina víctima: Pid: 3, Página: 0, Marco: 0
[INFO] 20:28:11:244 Log/(17629:17636): Pagina entrante: Pid: 1, Página: 0, Marco: 0
[INFO] 20:28:11:250 Log/(17629:17637): Pagina víctima: Pid: 2, Página: 0, Marco: 1
[INFO] 20:28:11:254 Log/(17629:17637): Pagina entrante: Pid: 3, Página: 0, Marco: 1
[INFO] 20:28:11:275 Log/(17629:17638): Pagina víctima: Pid: 1, Página: 0, Marco: 0
[INFO] 20:28:11:278 Log/(17629:17638): Pagina entrante: Pid: 2, Página: 0, Marco: 0
[INFO] 20:28:12:253 Log/(17629:17636): Pagina víctima: Pid: 3, Página: 0, Marco: 1
[INFO] 20:28:12:255 Log/(17629:17636): Pagina entrante: Pid: 1, Página: 0, Marco: 1
[INFO] 20:28:12:259 Log/(17629:17637): Pagina víctima: Pid: 2, Página: 0, Marco: 0
[INFO] 20:28:12:262 Log/(17629:17637): Pagina entrante: Pid: 3, Página: 0, Marco: 0
[INFO] 20:28:12:283 Log/(17629:17638): Pagina víctima: Pid: 1, Página: 0, Marco: 1
[INFO] 20:28:12:289 Log/(17629:17638): Pagina entrante: Pid: 2, Página: 0, Marco: 1
[INFO] 20:28:13:262 Log/(17629:17636): Pagina víctima: Pid: 3, Página: 0, Marco: 0
[INFO] 20:28:13:268 Log/(17629:17636): Pagina entrante: Pid: 1, Página: 0, Marco: 0
[INFO] 20:28:13:270 Log/(17629:17637): Pagina víctima: Pid: 2, Página: 0, Marco: 1
[INFO] 20:28:13:272 Log/(17629:17637): Pagina entrante: Pid: 3, Página: 0, Marco: 1
[INFO] 20:28:13:291 Log/(17629:17638): Pagina víctima: Pid: 1, Página: 0, Marco: 0
[INFO] 20:28:13:300 Log/(17629:17638): Pagina entrante: Pid: 2, Página: 0, Marco: 0
